country_code,country,year,account_ownership_female_pct,account_ownership_male_pct,account_ownership_older_pct,account_ownership_outoflaborforce_pct,account_ownership_pct_15plus,account_ownership_richest60_pct,account_ownership_young_pct,account_ownership_poorest40_pct,account_at_formal_institution_pct,borrowers_at_commercial_banks_per1k,depositors_at_commercial_banks_per1k,saved_at_financial_institution_pct
MYS,Malaysia,2021,87.5146527341944,89.2317012460191,92.5143702813636,92.9416353864796,88.3748841160555,91.9659085018278,74.2709398110853,82.9814604470249,714.39716,,20.71885,46.8967
MYS,Malaysia,2024,88.2264701684302,89.1413579480248,89.1171379088022,92.4534292521765,88.6918012421116,93.1284043274747,87.0831218872377,82.0441782944544,,,,
NGA,Nigeria,2011,25.9904013803634,33.2768925034846,33.808553167985,44.1442655409942,29.6675376842052,40.1318604402325,21.4764731050718,13.9573963364522,504.61356,5.7716286,14.99784,23.59374
NGA,Nigeria,2014,34.0223963700315,54.3624813953471,48.8837884582817,56.0282695760169,44.4419846566021,53.706930281153,35.7487555560932,30.5065328869879,653.35281,2.9595384,16.4411,27.07036
NGA,Nigeria,2017,27.2766783028412,51.4073357721221,43.3606657121079,59.2974668590833,39.6668586884669,49.722798847487,32.598071491492,24.5287585933543,923.22698,14.80963,18.36757,20.55172
NGA,Nigeria,2021,34.9640811024201,55.4526241322263,50.7884878596083,65.2032500929332,45.3166327186278,53.682456206515,34.8767624796848,32.6924793988622,,,12.19272,17.72969
NGA,Nigeria,2024,52.2155914465012,74.302879584059,73.6886247105236,79.6714034471371,63.2613514491542,74.2769862838096,44.4306588774756,46.7443880832654,,,,
NPL,Nepal,2011,21.219607473656,29.5582462160762,26.5681686822679,41.5267595515633,25.3085584745673,32.5395481818711,23.6472341845886,14.4370063211313,,,29.92086,9.902646
NPL,Nepal,2014,31.2665024443608,36.7244769569864,37.3387872910059,51.9384543705389,33.8013508598438,40.205276045903,25.4208928857927,24.1349127512331,,,24.46841,16.42646
NPL,Nepal,2017,41.6000219056237,49.9813377133243,47.7248654968034,58.5966839344824,45.3855766488135,50.3296456966432,39.3352589394849,37.9215298380233,,1.6990855,35.6377,17.09741
NPL,Nepal,2021,49.9032744022651,58.6104753881621,59.0206262198598,63.2990359239602,54.0026922540655,60.278207261473,42.2324381377752,44.5530382327407,,,28.87113,16.11572
NPL,Nepal,2024,59.7778342772083,60.2270903422122,67.3720985352467,68.7669106284418,59.9911157064883,64.6403454077327,39.1164572624061,53.0095282322869,,,,
PAK,Pakistan,2011,2.95357740083598,17.2815270860682,11.4478902795022,24.4551951217036,10.3062965935922,13.9448900529408,7.95491067144722,4.80787352736625,250.54182,16.207173,9.223564,1.440549
PAK,Pakistan,2014,4.84374685517549,20.9723564170282,12.9554893520979,25.1896079430053,13.0361910901935,15.2102947770848,13.1964370838821,9.75476712520752,292.95265,12.265792,13.11812,3.27778
PAK,Pakistan,2017,7.02506387268419,34.6076588199886,24.5315749177796,34.0311743154043,21.2932449054097,25.9984489543731,14.8923269617535,14.2158895837959,354.20255,8.4294895,9.721706,6.096227
PAK,Pakistan,2021,13.4784970707722,28.1764144611815,22.4570307682912,35.2950654749291,20.9806311316514,23.2122996533354,18.1023410529807,17.6113668088983,,,8.854549,2.373278
PAK,Pakistan,2024,11.9121696598431,42.2935435576169,28.5427198593614,46.6859995768197,27.2960071761925,36.4061624872429,24.3424901722908,13.6062537929128,,,,
PER,Peru,2011,17.5612926168713,23.4454186405412,22.7026379979749,24.4757074846138,20.4586854159298,30.6668883418739,14.4673371018913,5.1275786833364,480.11848,2.8927506,17.54601,8.557855
PER,Peru,2014,22.4969735150161,35.6586543642011,32.4688985765764,33.138382460923,28.9752319886255,37.7760808248377,19.5356816473864,15.7227299711385,708.28828,3.953459,16.43689,12.26159
PER,Peru,2017,34.4352169204029,50.9729838388907,47.0516384710435,44.8875780690742,42.6031809704695,52.9816751169778,29.371110083268,27.0247467315155,866.79171,4.6950252,18.69089,8.207332
PER,Peru,2021,53.0286765478848,62.3240756294273,60.8503957831418,61.6175675028858,57.4978561461709,65.3974922349533,46.6182313430104,45.5363940476739,,,16.93897,14.61297
PER,Peru,2024,56.1785669335632,62.4782758669515,60.9900311298582,66.5090547558496,59.3098978248017,69.0577748657614,52.9856890005398,44.6241136416496,,,,
